epoch,acc,loss,val_acc,val_loss
0,0.899933333333,0.325064151351,0.9762,0.0747524993993
1,0.967749999968,0.107546603703,0.983,0.0511529978313
2,0.975799999968,0.0823839703083,0.9858,0.0406643373239
3,0.98015,0.0683382957925,0.9868,0.0375583258893
4,0.982133333302,0.0603986075858,0.9874,0.0343970444277
5,0.984383333333,0.0530099407713,0.9883,0.0327927964867
6,0.985566666635,0.0498701237659,0.9894,0.0309890958717
7,0.986050000032,0.0467904579669,0.9893,0.0305211815983
8,0.987833333333,0.0423112053007,0.9901,0.0295867799942
9,0.988000000032,0.0390583979751,0.9889,0.0310520442268
10,0.988999999968,0.0378124308353,0.9893,0.0299997565793
11,0.989700000032,0.0351985841038,0.9902,0.0276416221108
